IST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-3-31,66,58,50,48,41,32,71,51,28,29.92,29.85,29.77,,,,18,8,,0.00,,,4
2014-4-1,71,62,53,55,49,39,73,59,46,29.74,29.69,29.65,,,,17,7,,0.00,,,324
2014-4-2,68,65,62,55,53,50,73,63,56,29.92,29.86,29.77,6,6,6,13,11,,0.00,1,,309
2014-4-3,68,62,57,55,53,50,77,66,56,30.04,29.99,29.92,6,6,6,12,6,,0.00,2,,263
2014-4-4,69,63,57,57,55,50,77,68,60,30.12,30.08,30.04,6,6,6,13,7,,0.00,3,,295
2014-4-5,71,64,57,61,56,50,88,68,49,30.06,30.00,29.92,,,,17,7,,0.00,,,1
2014-4-6,77,68,60,61,53,45,78,55,43,29.89,29.86,29.83,,,,12,4,,0.00,,,339
2014-4-7,86,75,64,64,55,39,78,61,19,30.01,29.91,29.80,6,6,6,14,7,,0.00,2,,248
2014-4-8,71,66,60,63,60,57,88,77,68,29.98,29.94,29.89,6,6,6,12,5,,0.00,1,,316
2014-4-9,69,64,60,59,58,55,88,70,64,29.98,29.95,29.92,6,6,6,12,6,,0.00,2,,290
2014-4-10,73,68,62,57,55,52,77,65,56,30.06,30.01,29.95,6,6,6,13,8,24,0.00,2,,283
2014-4-11,69,63,57,59,56,50,78,70,56,30.06,30.02,29.95,,,,18,10,,0.00,,,9
2014-4-12,69,68,66,59,58,57,78,73,68,30.01,29.99,29.95,6,6,6,10,8,,0.00,3,,324
2014-4-13,69,64,59,59,56,52,82,71,68,30.04,29.99,29.95,6,6,6,12,7,,0.00,2,,302
2014-4-14,69,63,57,57,55,52,82,69,64,29.98,29.92,29.89,,,,15,7,,0.00,,,2
2014-4-15,84,72,60,61,50,41,73,45,30,29.86,29.83,29.80,,,,9,5,,0.00,,,98
2014-4-16,77,72,66,63,59,50,83,69,50,29.89,29.83,29.80,,,,14,6,,0.00,,,332
2014-4-17,75,70,66,64,62,59,88,76,69,29.86,29.83,29.80,6,6,6,12,7,,0.00,2,,267
2014-4-18,84,72,60,59,53,45,88,49,25,29.92,29.90,29.86,,,,7,5,,0.00,,,337
2014-4-19,87,80,73,63,52,37,69,38,21,29.92,29.87,29.80,,,,15,8,,0.00,,,15
2014-4-20,73,70,68,64,64,63,88,80,73,29.92,29.88,29.80,6,6,6,18,12,,0.00,4,Rain,344
2014-4-21,69,66,64,57,56,55,77,67,60,29.98,29.97,29.92,6,6,6,10,6,,0.00,2,,299
2014-4-22,71,66,62,61,60,55,83,73,64,30.06,30.03,29.98,6,6,6,13,7,,0.00,1,,296
2014-4-23,73,66,60,64,62,55,82,76,73,30.04,29.97,29.92,,,,15,8,,0.00,,,342
2014-4-24,80,72,64,68,63,55,77,69,42,29.83,29.75,29.68,6,6,6,15,5,,0.00,1,,307
2014-4-25,78,74,69,68,66,64,88,77,69,29.83,29.74,29.68,6,6,6,14,7,,0.00,2,,218
2014-4-26,73,70,68,63,60,55,83,69,61,29.92,29.89,29.86,6,6,6,12,8,,0.00,2,,299
2014-4-27,71,66,62,59,58,55,78,69,60,29.89,29.85,29.80,6,6,6,15,8,,0.00,4,,352
2014-4-28,84,72,60,63,58,43,88,64,23,29.95,29.89,29.86,,,,13,6,,0.00,,,323
2014-4-29,73,68,64,63,61,57,83,73,65,29.98,29.94,29.89,6,6,6,16,7,,0.00,1,,327
2014-4-30,75,68,62,64,62,57,83,73,65,29.92,29.90,29.86,6,6,6,10,6,,0.00,1,,336
2014-5-1,75,70,64,64,62,52,78,71,64,29.89,29.86,29.83,,,,16,8,,0.00,,,341
2014-5-2,75,70,66,61,59,55,83,67,57,30.01,29.95,29.89,6,6,6,12,5,,0.00,2,,308
2014-5-3,89,76,64,59,48,39,64,33,20,29.92,29.90,29.89,,,,7,4,,0.00,,,309
2014-5-4,95,84,73,57,46,41,33,24,15,29.86,29.83,29.80,,,,10,7,,0.00,,,18
2014-5-5,87,82,75,68,61,37,74,55,17,29.83,29.80,29.77,6,5,4,13,7,,0.00,,,293
2014-5-6,77,73,69,68,66,64,83,75,65,29.86,29.81,29.77,6,5,4,28,9,39,0.00,,,1
2014-5-7,75,72,69,66,66,64,88,81,73,29.83,29.78,29.71,6,6,6,17,13,,0.00,3,Rain-Thunderstorm,340
2014-5-8,71,68,66,64,63,61,94,84,69,29.83,29.76,29.71,6,6,6,10,6,,0.00,4,Rain,266
2014-5-9,75,70,64,63,58,54,78,64,56,29.95,29.91,29.80,6,6,6,13,8,,0.00,1,,207
2014-5-10,80,72,64,64,59,50,73,60,34,29.92,29.89,29.86,6,6,6,15,8,,0.00,1,,335
2014-5-11,73,70,66,63,59,57,78,67,57,29.95,29.91,29.89,6,6,6,15,7,,0.00,2,,324
2014-5-12,73,68,64,61,59,57,78,66,57,30.01,29.97,29.92,6,6,6,15,8,,0.00,2,,273
2014-5-13,75,72,68,61,60,59,78,69,61,30.06,30.04,29.98,6,6,6,13,8,,0.00,3,,279
2014-5-14,75,70,64,63,61,59,83,72,61,30.04,29.99,29.95,6,6,6,10,6,,0.00,1,,279
2014-5-15,77,70,62,64,60,54,77,67,50,29.92,29.87,29.83,,,,14,6,,0.00,,,334
2014-5-16,77,70,64,68,63,57,78,72,57,29.92,29.88,29.83,6,6,6,13,7,,0.00,1,,336
2014-5-17,75,72,69,64,62,61,83,69,65,30.04,30.01,29.98,6,6,6,12,9,,0.00,2,,315
2014-5-18,73,70,68,57,55,54,68,56,50,30.06,30.04,30.01,6,6,6,13,8,,0.00,2,,305
2014-5-19,75,72,68,59,58,55,68,62,53,30.06,30.02,29.95,6,6,6,14,7,,0.00,3,,291
2014-5-20,75,72,68,64,62,59,78,70,61,29.98,29.93,29.89,6,6,6,14,8,,0.00,1,,295
2014-5-21,80,74,68,66,61,52,78,59,37,29.80,29.75,29.71,,,,24,9,34,0.00,,,356
2014-5-22,77,73,69,66,65,63,83,72,65,29.86,29.82,29.80,6,6,6,13,7,,0.00,2,,298
2014-5-23,77,72,68,64,63,63,83,70,61,29.86,29.82,29.80,6,6,6,12,6,,0.00,3,,311
2014-5-24,77,72,66,66,64,61,83,71,65,29.95,29.91,29.86,6,6,6,13,7,,0.00,2,,273
2014-5-25,77,72,68,64,64,63,88,73,65,29.98,29.95,29.92,6,6,6,12,6,,0.00,2,,296
2014-5-26,77,72,66,68,65,61,83,73,65,29.98,29.95,29.89,6,6,6,12,7,,0.00,2,,242
2014-5-27,82,75,68,66,63,54,88,60,37,29.89,29.84,29.74,5,5,5,10,7,,0.00,,,324
2014-5-28,80,78,75,72,68,59,83,72,51,29.86,29.78,29.68,6,6,6,23,12,,0.00,4,,215
2014-5-29,78,74,71,70,68,68,88,77,69,29.92,29.90,29.86,6,6,3,13,7,,0.00,1,,283
2014-5-30,84,76,68,68,63,52,83,57,35,29.86,29.81,29.74,,,,13,7,,0.00,,,347
2014-5-31,86,80,73,70,67,61,78,69,43,29.89,29.83,29.68,6,6,6,22,15,,0.00,3,,250
2014-6-1,78,74,71,63,61,59,69,59,51,29.92,29.89,29.86,6,6,6,14,10,,0.00,3,,252
2014-6-2,78,74,71,63,61,59,73,62,54,29.98,29.94,29.89,6,6,6,14,11,,0.00,2,,266
2014-6-3,80,74,68,63,60,57,73,58,45,29.98,29.95,29.92,6,6,6,13,7,,0.00,1,,306
2014-6-4,96,86,75,68,57,45,55,33,22,29.80,29.73,29.65,6,6,6,10,7,,0.00,,,19
2014-6-5,80,76,73,70,68,64,83,72,65,29.86,29.84,29.77,6,5,3,20,14,,0.00,4,,266
2014-6-6,78,74,71,64,63,61,78,65,57,29.86,29.83,29.80,6,6,6,14,9,,0.00,3,,265
2014-6-7,78,74,71,64,63,61,73,64,54,29.83,29.82,29.80,6,6,6,13,7,,0.00,3,,240
2014-6-8,80,74,69,66,64,59,73,65,57,29.83,29.80,29.77,6,6,6,12,8,,0.00,2,,300
2014-6-9,78,74,69,66,66,63,78,69,65,29.80,29.79,29.77,6,6,6,15,8,,0.00,2,,332
2014-6-10,80,76,73,66,66,64,78,68,61,29.89,29.86,29.83,6,6,6,12,6,,0.00,3,,287
2014-6-11,80,76,71,68,66,64,78,69,61,29.92,29.89,29.86,6,6,6,14,8,,0.00,3,,266
2014-6-12,80,76,71,68,66,64,83,69,58,29.83,29.81,29.77,6,6,6,10,6,,0.00,3,,267
2014-6-13,80,76,73,68,67,66,78,69,61,29.80,29.76,29.74,6,6,6,12,8,,0.00,2,,273
2014-6-14,80,76,73,70,69,68,83,74,65,29.83,29.79,29.77,6,6,6,13,7,,0.00,2,,311
2014-6-15,82,76,69,70,68,66,88,72,62,29.92,29.88,29.83,6,5,5,9,5,,0.00,1,,302
2014-6-16,84,76,69,68,64,59,73,60,45,29.92,29.88,29.86,6,6,6,12,8,,0.00,1,,333
2014-6-17,84,78,73,70,68,61,78,66,51,29.89,29.86,29.86,6,6,6,13,6,,0.00,3,,308
2014-6-18,82,78,75,72,71,68,83,74,70,29.89,29.87,29.86,6,6,6,13,7,,0.00,2,,244
2014-6-19,87,80,73,75,72,66,83,74,62,29.83,29.79,29.77,6,6,6,13,8,,0.00,2,,212
2014-6-20,86,80,75,75,74,72,89,76,70,29.80,29.75,29.71,6,5,4,12,8,,0.00,2,,253
2014-6-21,82,80,77,66,65,63,69,62,51,29.92,29.87,29.83,6,6,6,13,10,,0.00,2,,288
2014-6-22,82,78,75,68,66,64,69,63,58,29.95,29.91,29.89,6,6,6,13,8,,0.00,2,,310
2014-6-23,80,76,73,70,67,64,74,68,61,29.92,29.89,29.86,6,6,6,14,8,,0.00,2,,315
2014-6-24,82,78,73,72,70,68,83,72,66,29.83,29.79,29.77,6,6,6,15,8,,0.00,2,,265
2014-6-25,86,80,73,72,71,68,88,73,62,29.77,29.76,29.74,6,6,6,15,8,,0.00,2,,228
2014-6-26,84,78,71,73,71,66,83,75,70,29.83,29.79,29.74,6,6,6,13,8,,0.00,2,,257
2014-6-27,84,78,73,75,73,70,88,77,70,29.86,29.83,29.80,6,5,4,12,6,,0.00,2,,313
2014-6-28,87,81,75,77,74,72,89,74,66,29.83,29.80,29.77,6,6,6,9,6,,0.00,1,,261
2014-6-29,87,82,77,77,76,73,89,78,70,29.77,29.76,29.74,6,6,5,10,7,,0.00,3,,274
2014-6-30,84,81,78,73,72,70,78,71,66,29.80,29.78,29.77,6,6,6,10,7,,0.00,3,,286
2014-7-1,84,80,77,72,70,68,78,68,62,29.89,29.87,29.83,6,6,6,12,7,,0.00,3,,278
2014-7-2,86,80,75,75,73,72,89,75,66,29.89,29.88,29.86,6,6,6,12,6,,0.00,3,,264
2014-7-3,87,81,75,73,73,72,89,73,62,29.80,29.75,29.68,6,6,6,12,8,,0.00,2,,224
2014-7-4,87,81,75,75,73,68,83,71,66,29.62,29.59,29.56,6,6,6,15,10,,0.00,3,,207
2014-7-5,86,82,78,72,70,68,78,66,62,29.71,29.65,29.62,6,6,6,17,12,,0.00,2,,235
2014-7-6,86,80,75,72,70,66,74,68,58,29.80,29.76,29.71,6,6,6,14,7,,0.00,2,,284
2014-7-7,86,80,75,73,72,70,83,72,66,29.83,29.81,29.80,6,6,6,12,7,,0.00,2,,266
2014-7-8,86,82,78,75,73,72,83,72,66,29.77,29.75,29.74,6,6,6,13,8,,0.00,2,,257
2014-7-9,86,80,75,73,73,70,83,72,66,29.77,29.74,29.71,6,6,6,14,7,,0.00,1,,241
2014-7-10,87,81,75,77,73,68,79,70,62,29.77,29.75,29.71,6,6,6,12,7,,0.00,1,,231
2014-7-11,86,82,77,73,73,70,79,71,66,29.80,29.79,29.74,6,6,6,10,6,,0.00,2,,282
2014-7-12,87,82,77,75,74,70,79,72,62,29.86,29.83,29.80,6,6,6,9,5,,0.00,1,,286
2014-7-13,86,83,80,73,72,68,79,68,62,29.89,29.86,29.83,6,6,6,14,11,,0.00,3,,269
2014-7-14,86,82,78,70,69,66,70,63,55,29.80,29.77,29.74,6,6,6,14,13,,0.00,3,,261
2014-7-15,86,82,78,72,70,68,70,64,55,29.77,29.73,29.71,6,6,6,13,10,,0.00,3,,245
2014-7-16,86,82,78,70,69,66,70,63,55,29.83,29.80,29.77,6,6,6,14,9,,0.00,3,,261
2014-7-17,84,81,78,70,69,68,69,64,58,29.83,29.82,29.80,6,6,6,13,8,,0.00,2,,286
2014-7-18,86,82,78,70,69,68,70,64,58,29.80,29.78,29.74,6,6,6,14,8,,0.00,3,,282
2014-7-19,86,82,78,72,69,68,70,65,58,29.77,29.76,29.74,6,6,6,14,10,,0.00,3,,265
2014-7-20,86,82,78,72,71,70,74,67,62,29.74,29.73,29.71,6,6,6,17,13,,0.00,4,,249
2014-7-21,86,82,78,73,71,70,74,67,58,29.74,29.73,29.71,6,6,6,14,11,,0.00,3,,256
2014-7-22,86,82,77,73,72,68,79,70,62,29.77,29.76,29.74,6,6,6,15,8,,0.00,1,,266
2014-7-23,86,82,77,75,74,72,83,73,66,29.80,29.77,29.74,6,6,6,13,8,,0.00,2,,261
2014-7-24,87,82,77,75,73,72,89,73,58,29.77,29.75,29.74,6,6,6,13,7,,0.00,2,,267
2014-7-25,86,82,77,72,70,68,78,64,55,29.74,29.72,29.71,6,6,6,12,7,,0.00,3,,263
2014-7-26,86,82,77,70,69,66,74,62,55,29.80,29.76,29.74,6,6,6,13,7,,0.00,2,,249
2014-7-27,86,82,77,73,72,68,78,68,58,29.89,29.86,29.83,6,6,6,13,8,,0.00,3,,254
2014-7-28,86,82,78,73,72,70,79,69,58,29.89,29.86,29.83,6,6,6,10,6,,0.00,4,,272
2014-7-29,87,82,78,75,74,73,83,73,62,29.80,29.76,29.74,6,6,6,13,7,,0.00,2,,245
2014-7-30,87,81,75,75,74,72,89,73,66,29.74,29.73,29.71,6,6,6,13,8,,0.00,2,,245
2014-7-31,86,82,78,72,70,68,74,64,58,29.77,29.73,29.71,6,6,6,12,7,,0.00,3,,258
2014-8-1,86,80,75,73,72,68,83,71,62,29.74,29.71,29.68,6,6,6,12,7,,0.00,2,,269
2014-8-2,87,81,75,75,72,68,83,70,62,29.74,29.72,29.68,6,6,6,14,8,,0.00,2,,239
2014-8-3,87,84,80,72,71,70,74,67,58,29.74,29.72,29.71,6,6,6,14,10,,0.00,2,,265
2014-8-4,87,84,80,73,72,72,74,66,58,29.68,29.67,29.65,6,6,6,15,11,,0.00,3,,240
2014-8-5,89,84,80,75,74,73,79,71,62,29.65,29.63,29.62,6,6,6,20,13,,0.00,3,,227
2014-8-6,87,84,80,75,74,72,74,69,62,29.71,29.69,29.68,6,6,6,14,9,,0.00,3,,239
2014-8-7,86,82,77,75,73,72,83,73,66,29.77,29.73,29.68,6,6,6,10,6,,0.00,2,,306
2014-8-8,87,82,77,73,72,70,83,68,58,29.83,29.80,29.77,6,6,6,14,7,,0.00,2,,273
2014-8-9,87,82,78,72,70,66,70,63,58,29.80,29.79,29.77,6,6,6,13,8,,0.00,4,,268
2014-8-10,87,82,78,72,71,68,74,65,58,29.80,29.77,29.74,6,6,6,13,7,,0.00,3,,257
2014-8-11,86,82,77,72,71,70,78,66,58,29.80,29.78,29.74,6,6,6,10,7,,0.00,2,,297
2014-8-12,87,82,77,75,74,72,83,73,66,29.77,29.74,29.71,6,6,6,13,7,,0.00,2,,254
2014-8-13,87,82,78,77,75,72,84,74,66,29.74,29.72,29.71,6,6,6,14,8,,0.00,2,,260
2014-8-14,87,84,80,77,76,75,84,75,70,29.77,29.75,29.74,6,6,6,10,7,,0.00,3,,278
2014-8-15,87,82,78,75,75,73,84,72,66,29.80,29.79,29.77,6,6,6,13,7,,0.00,3,,240
2014-8-16,87,84,80,73,73,70,79,67,58,29.77,29.72,29.68,6,6,6,13,8,,0.00,2,,236
2014-8-17,87,82,77,75,73,70,79,71,58,29.65,29.61,29.59,6,6,6,15,7,,0.00,3,,218
2014-8-18,89,84,78,75,75,73,83,72,62,29.71,29.66,29.62,6,6,6,16,10,,0.00,3,,242
